TARGET,TARGET_START,TARGET_STOP,TARGET_TEXT,SOURCE,SOURCE_START,SOURCE_STOP,SOURCE_TEXT,TYPE,AUTH,ADDED_BY,NOTE
lucan.bellum_civile,1_68,1_68,68 immensum aperitur opus,vergil.aeneid,3_275,3_275,3.275 aperitur Apollo,2,H,,
lucan.bellum_civile,1_307,1_307,307 iussus Caesar agi,vergil.aeneid,7_481,7_481,7.481 ut ceruuom ardentes agerent,3,H,,Caesar is to be pursued = Allecto drives Iulus' dogs to pursue Silvia's stag
lucan.bellum_civile,1_347,1_347,347 tollite iampridem uictricia tollite signa,vergil.aeneid,2_103,2_103,2.103 iamdudum sumite poenas,3,H,,Caesar urges the standards to be raised = Sinon urges the Trojans to take vengence
lucan.bellum_civile,1_393,1_393,393 fataque ferre uidet,vergil.aeneid,2_34,2_34,2.34 fata ferebant,3,H,,reversal; Caesar sees favorable fates in the spirit of his troops = Aeneas states (unfortunate) fate of Troy unfolds with Trojan horse entering
lucan.bellum_civile,1_465,1_465,465 apertum gentibus orbem,vergil.aeneid,10_13,10_13,10.13 Alpes immittet apertas,4,H,,Caesar moving his troops to Rome opens up Italy to attack = Carthage's attack on Rome opens her up to attack at the Alps
lucan.bellum_civile,1_683,1_683,683 quo diuersa feror,vergil.aeneid,5_166,5_166,5.166 quo diuersa abis,3,H,,Matrona asks where war will go next = Gyas asks Menoetes why the ship is going astray (boat race)
lucan.bellum_civile,1_111,1_111,1.111 non cepit fortuna duos,vergil.aeneid,9_644,9_644,9.644 nec . . . capit,3,H;R,,Caesar and Pompey can't share power = Troy will not contain Ascanius
lucan.bellum_civile,1_137,1_137,137 quercus exuuias sacrataque gestans / dona ducum,vergil.aeneid,11_5,11_5,11.5-8 ingentem quercum . . . Mezenti ducis exuuias,5,H;R,,Pompey as oak with spoils = oak with spoils of Mezentius
lucan.bellum_civile,1_355,1_355,1.355 diro ferri reuocantur amore ,vergil.aeneid,7_461,7_461,7.461 saevit amor ferri et scelerata insania bello,5,H;R,,fury of Caesar's troops = fury of Turnus possessed by Allecto
lucan.bellum_civile,1_674,1_674,674 sed maiora premunt,vergil.aeneid,10_375,10_375,10.375 numina nulla premunt,3,H;R,,omens scare populace = Pallas telling his men no gods are pressing them
lucan.bellum_civile,1_25,1_25,25-6 lapsis . . . muris,vergil.aeneid,8_355,8_355,8.355 disiectis . . . muris,4,H;TB,,Italian walls destroyed by civil war = ruins of divine towns on the Capitoline pointed out by Evander on visit to Pallentum
lucan.bellum_civile,1_3,1_3,3 uiscera,vergil.aeneid,6_833,6_833,6.833 uiscera,5,H;TB;V;R,,Dead Anchises foretells the civil war between Caesar and Pompey
lucan.bellum_civile,1_33,1_33,33-4 fata Neroni / inuenere uiam,vergil.aeneid,10_113,10_113,10.113 fata uiam inuenient,5,H;TB;V;R,,Fates finding way for Nero = Jupiter saying that he will let the battle go and the Fates will find a way
lucan.bellum_civile,1_588,1_588,588 errantis in aere pinnae,vergil.aeneid,3_361,3_361,3.361 praepetis omina pennae,4,H;V,,abilities of seer Arruns = abilities of seer Helenus
lucan.bellum_civile,1_2,1_2,1.2 iusque datum sceleri,vergil.aeneid,6_852,6_852,6.852 pacique imponere morem,4,R,,"reality of Rome = Anchises' description of Rome; acc. Roche a ""sardonic inversion"""
lucan.bellum_civile,1_6,1_6,1.6-7 signis / signa . . . pila minantia pilis,vergil.aeneid,4_628,4_628,4.628-9 litora litoribus . . . / . . . arma armis,5,R,,Roman civil war = Dido's prayers for Carthage vs. Rome war
lucan.bellum_civile,1_8,1_8,1.8 quis furor,vergil.aeneid,12_313,12_313,12.313 quo ruitis? quaeve ista repens discordia surgit,5,R,,narrator asks what madness causes Romans to fight = Aeneas asking troops why fight when there is a truce
lucan.bellum_civile,1_13,1_13,1.13 heu quantum terrae potuit,vergil.aeneid,6_828,6_828,6.828 heu quantum inter se bellum,5,R,,Anchises mentions civil war between Caesar and Pompey
lucan.bellum_civile,1_21,1_21,1.21 si tantus amor belli tibi Roma nefandi,vergil.aeneid,11_323,11_323,11.323 si tantus amor,3,R,,destruction of Rome via civil war= Latinus saying he will allow the Trojans to settle if they thus desire it
